luminosity (log L_sun),err in luminosity (log Lsun),sigma (km/s),err+ sigma (km/s),err- sigma (km/s),Distance (kpc)
4.02,0.16,2.4,2.4,1.4,44
2.94,0.12,2.6,0,2.6,793
4.66,0.32,2.8,1.9,1.4,727
5.75,0.2,3,1.2,1.1,742
3.01,0.04,3.22,1.64,0.49,79
3.91,0.08,3.3,1.7,1.7,160
2.54,0.32,3.7,1.4,1.1,811
4.42,0.16,3.72,0.91,0.91,134
5.13,0.4,3.9,1.2,1.2,763
3.01,0.28,4,0.8,0.8,476
4.55,0.48,4,0,4,769
5.69,0.12,4,1.4,1.4,754
6.04,0.28,4.2,3.6,4.2,620
3.87,0.12,4.5,0,4.5,66
5.85,0.24,4.5,1.2,1,76
4.29,0.08,4.6,0.8,0.6,827
4.1,0.08,4.6,1,1,626
3.46,0.24,4.6,0.8,0.8,785
5.89,0.12,4.7,1.8,1.8,748
5.52,0.24,4.7,1.6,1.4,86
3.29,0.04,4.9,2.8,0.9,827
5.39,0.16,4.9,1.6,1.6,681
5.37,0.2,5.3,1,1,772
3.64,0.16,5.4,3.6,2.4,821
5.33,0.12,5.7,1.2,1.2,783
4.45,0.48,5.8,2,2,779
5.53,0.12,5.8,1.1,0.9,76
5.34,0.16,6.5,3.3,2.7,254
5.57,0.2,6.6,1.2,1.2,175
5.87,0.12,6.6,0.7,0.7,30
3.54,0.2,6.7,1.4,1.4,760
4.39,0.32,7.1,3.9,2.5,630
6,0.2,7.1,1,1,756
5.32,0.2,7.3,0,7.3,42
5.57,0.07,7.5,1.6,1.6,723
5.08,0.08,7.6,0.4,0.4,928
4.14,0.12,7.6,1,1,829
4.7,0.48,7.6,4,2.8,86
5.64,0.2,7.9,1.3,1.3,23
5.98,0.04,7.9,5.3,2.9,824
6.44,0.08,8.3,1,1,712
6.83,0.28,8.4,0.6,0.6,887
4.77,0.2,8.6,2.8,2.2,600
5.45,0.08,9.1,1.2,1.2,35
6.74,0.12,9.2,0.4,0.4,736
6.36,0.2,9.2,1.1,1.1,154
6.85,0.08,9.25,1.1,1.1,741
5.45,0.2,9.5,1.2,1.2,133
6.58,0.04,10.2,1.9,1.9,32
6.61,0.28,10.3,0.9,0.9,1214
3.02,0.36,10.5,7.4,7.4,38
5.55,0.08,10.5,1.1,1.1,898
4.97,0.44,10.9,2,2,97
7.31,0.12,11.7,0.9,0.9,920
5.2,0,11.8,7.7,4.7,762
6.44,0.08,12.4,1.5,1.3,417
6.98,0.12,13,1,1,216
5.45,0.2,14.8,4.3,3.1,147
5.75,0.08,15.8,4.1,3.1,196
7.84,0.04,16,1,1,727
7.84,0.04,24,1,1,105
8.52,0.04,35,5,5,233
